case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
TRY_DG_000001,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m200(aq),M_c23ad6ba9760,0.0,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0047511669981759
TRY_DG_000002,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m160(aq),M_95bf39609032,0.0,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.004694292001659
TRY_DG_000003,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m120(aq),M_840bce44ea9e,0.0,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045707079989369
TRY_DG_000004,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m080(aq),M_962ab3fffa4f,0.0,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0047964580007828
TRY_DG_000005,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m040(aq),M_3d153095db2f,0.0,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0046447079948848
TRY_DG_000006,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_000(aq),M_b2358965eaa2,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0050437080062692
TRY_DG_000007,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p040(aq),M_770bf431ab81,0.0,0.02,0.042,2.1,40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0048175840056501
TRY_DG_000008,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p080(aq),M_20ec47f0dead,0.0,0.02,0.042,2.1,80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045908340107416
TRY_DG_000009,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p120(aq),M_d63c5450caac,0.0,0.02,0.042,2.1,120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0048241659969789
TRY_DG_000010,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p160(aq),M_81dedef9fa51,0.0,0.02,0.042,2.1,160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0046838330017635
TRY_DG_000011,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p200(aq),M_0e329b59d5d1,0.0,0.02,0.042,2.1,200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.004581708999467
TRY_INV_000001,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),M_4c83a72d8783,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0054161250009201
